Date Time          ,Battery Voltage
2019-01-15 18:27:47,8.37
2019-01-15 18:27:59,8.36
2019-01-15 18:28:11,8.37
2019-01-15 18:28:23,8.39
2019-01-15 18:28:35,8.38
2019-01-15 18:28:47,8.39
2019-01-15 18:28:59,8.39
2019-01-15 18:29:11,8.37
2019-01-15 18:29:23,8.35
2019-01-15 18:29:35,8.36
2019-01-15 18:29:47,8.37
2019-01-15 18:29:59,8.37
2019-01-15 18:30:11,8.37
2019-01-15 18:30:23,8.39
2019-01-15 18:30:35,8.39
2019-01-15 18:30:47,8.37
2019-01-15 18:30:59,8.38
2019-01-15 18:31:11,8.36
2019-01-15 18:31:23,8.36
2019-01-15 18:31:35,8.39
2019-01-15 18:31:47,8.39
2019-01-15 18:31:59,8.39
2019-01-15 18:32:11,8.37
2019-01-15 18:32:23,8.37
2019-01-15 18:32:35,8.38
2019-01-15 18:32:47,8.38
2019-01-15 18:32:59,8.37
2019-01-15 18:33:11,8.36
2019-01-15 18:33:23,8.36
2019-01-15 18:33:35,8.36
2019-01-15 18:33:47,8.35
2019-01-15 18:33:59,8.38
2019-01-15 18:34:11,8.38
2019-01-15 18:34:23,8.38
2019-01-15 18:34:35,8.37
2019-01-15 18:34:47,8.37
2019-01-15 18:34:59,8.36
2019-01-15 18:35:11,8.38
2019-01-15 18:35:23,8.39
2019-01-15 18:35:35,8.35
2019-01-15 18:35:47,8.36
2019-01-15 18:35:59,8.38
2019-01-15 18:36:11,8.35
2019-01-15 18:36:23,8.38
2019-01-15 18:36:35,8.36
2019-01-15 18:36:47,8.36
2019-01-15 18:36:59,8.37
2019-01-15 18:37:11,8.35
2019-01-15 18:37:23,8.36
2019-01-15 18:37:35,8.36
2019-01-15 18:37:48,8.35
2019-01-15 18:38:00,8.35
2019-01-15 18:38:12,8.35
2019-01-15 18:38:24,8.37
2019-01-15 18:38:36,8.35
2019-01-15 18:38:48,8.33
2019-01-15 18:39:00,8.33
2019-01-15 18:39:12,8.34
2019-01-15 18:39:24,8.36
2019-01-15 18:39:36,8.34
2019-01-15 18:39:48,8.34
2019-01-15 18:40:00,8.35
2019-01-15 18:40:12,8.37
2019-01-15 18:40:24,8.34
2019-01-15 18:40:36,8.35
2019-01-15 18:40:48,8.34
2019-01-15 18:41:00,8.34
2019-01-15 18:41:12,8.34
2019-01-15 18:41:24,8.34
2019-01-15 18:41:36,8.34
2019-01-15 18:41:48,8.34
2019-01-15 18:42:00,8.34
2019-01-15 18:42:12,8.36
2019-01-15 18:42:24,8.34
2019-01-15 18:42:36,8.36
2019-01-15 18:42:48,8.34
2019-01-15 18:43:00,8.34
2019-01-15 18:43:12,8.36
2019-01-15 18:43:24,8.34
2019-01-15 18:43:36,8.34
2019-01-15 18:43:48,8.34
2019-01-15 18:44:00,8.35
2019-01-15 18:44:12,8.37
2019-01-15 18:44:24,8.34
2019-01-15 18:44:36,8.34
2019-01-15 18:44:48,8.35
2019-01-15 18:45:00,8.3
2019-01-15 18:45:12,8.34
2019-01-15 18:45:24,8.27
2019-01-15 18:45:36,8.35
2019-01-15 18:45:48,8.35
2019-01-15 18:46:00,8.34
2019-01-15 18:46:12,8.33
2019-01-15 18:46:24,8.34
2019-01-15 18:46:36,8.34
2019-01-15 18:46:48,8.36
2019-01-15 18:47:00,8.36
2019-01-15 18:47:12,8.35
2019-01-15 18:47:24,8.34
2019-01-15 18:47:36,8.35
2019-01-15 18:47:48,8.34
2019-01-15 18:48:00,8.34
2019-01-15 18:48:12,8.36
2019-01-15 18:48:24,8.34
2019-01-15 18:48:36,8.36
2019-01-15 18:48:48,8.34
2019-01-15 18:49:00,8.35
2019-01-15 18:49:12,8.34
2019-01-15 18:49:24,8.31
2019-01-15 18:49:36,8.34
2019-01-15 18:49:48,8.35
2019-01-15 18:50:00,8.34
2019-01-15 18:50:12,8.34
2019-01-15 18:50:24,8.29
2019-01-15 18:50:36,8.34
2019-01-15 18:50:48,8.35
2019-01-15 18:51:00,8.34
2019-01-15 18:51:12,8.34
2019-01-15 18:51:24,8.34
2019-01-15 18:51:36,8.33
2019-01-15 18:51:48,8.33
2019-01-15 18:52:00,8.33
2019-01-15 18:52:12,8.34
2019-01-15 18:52:24,8.34
2019-01-15 18:52:36,8.34
2019-01-15 18:52:48,8.34
2019-01-15 18:53:00,8.34
2019-01-15 18:53:12,8.33
2019-01-15 18:53:24,8.32
2019-01-15 18:53:36,8.34
2019-01-15 18:53:48,8.32
2019-01-15 18:54:00,8.33
2019-01-15 18:54:12,8.34
2019-01-15 18:54:24,8.32
2019-01-15 18:54:36,8.34
2019-01-15 18:54:48,8.33
2019-01-15 18:55:00,8.34
2019-01-15 18:55:13,8.34
2019-01-15 18:55:25,8.31
2019-01-15 18:55:37,8.35
2019-01-15 18:55:49,8.32
2019-01-15 18:56:01,8.34
2019-01-15 18:56:13,8.34
2019-01-15 18:56:25,8.33
2019-01-15 18:56:37,8.35
2019-01-15 18:56:49,8.31
2019-01-15 18:57:01,8.34
2019-01-15 18:57:13,8.34
2019-01-15 18:57:25,8.25
2019-01-15 18:57:37,8.33
2019-01-15 18:57:49,8.34
2019-01-15 18:58:01,8.32
2019-01-15 18:58:13,8.34
2019-01-15 18:58:25,8.33
2019-01-15 18:58:37,8.31
2019-01-15 18:58:49,8.34
2019-01-15 18:59:01,8.33
2019-01-15 18:59:13,8.34
2019-01-15 18:59:25,8.33
2019-01-15 18:59:37,8.33
2019-01-15 18:59:49,8.33
2019-01-15 19:00:01,8.31
2019-01-15 19:00:13,8.33
2019-01-15 19:00:25,8.34
2019-01-15 19:00:37,8.33
2019-01-15 19:00:49,8.31
2019-01-15 19:01:01,8.34
